,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
23920,Žarnovica,48.4833,18.7167,Slovakia,277.08,78.0,4.0,2.68
10867,Xiva,41.3783,60.3639,Uzbekistan,277.15,81.0,100.0,2.06
22676,Diamondhead,30.3791,-89.3708,United States,293.25,53.0,75.0,7.72
6678,Aţ Ţafīlah,30.8375,35.6042,Jordan,281.62,100.0,56.0,2.11
1367,Provo,40.2457,-111.6457,United States,274.53,69.0,75.0,2.57
21190,Picnic Point,47.8744,-122.3078,United States,294.71,83.0,20.0,2.57
21140,East Haddam,41.4798,-72.3943,United States,277.03,48.0,1.0,3.6
7789,Qax,41.4194,46.9181,Azerbaijan,283.15,50.0,40.0,4.12
1204,Al Ḩillah,23.4895,46.7564,Saudi Arabia,289.15,59.0,75.0,7.2
15390,Sergach,55.5333,45.4667,Russia,273.41,97.0,100.0,2.43
118,Dezhou,37.4513,116.3105,China,277.13,65.0,93.0,4.35
13575,Arnstadt,50.8342,10.9464,Germany,274.51,87.0,0.0,3.6
16633,Lindsay,36.2082,-119.0897,United States,283.46,76.0,20.0,1.54
6489,Nutley,40.8192,-74.1571,United States,278.42,42.0,1.0,5.14
1346,Linghai,41.1676,121.3558,China,269.92,76.0,0.0,1.92
11091,Solnechnogorsk,56.1844,36.995,Russia,266.15,86.0,90.0,5.0
6908,Kitagata,35.4369,136.6861,Japan,278.15,70.0,75.0,4.12
13964,Newport,50.701,-1.2883,United Kingdom,280.83,98.0,50.0,3.51
24807,Ross Township,40.8772,-75.3607,United States,275.52,38.0,90.0,4.12
15558,Waldbröl,50.8789,7.615,Germany,277.62,78.0,92.0,1.34
9902,Buckeye,33.4314,-112.6429,United States,295.27,27.0,0.0,0.89
17678,Kouroussa,10.653,-9.892,Guinea,300.13,16.0,87.0,1.52
425,Damascus,33.5131,36.2919,Syria,284.82,77.0,100.0,0.89
22166,Loftus,54.5569,-0.8919,United Kingdom,278.13,1.0,100.0,4.02
25700,Bierutów,51.1333,17.5333,Poland,272.95,93.0,90.0,1.54
20771,Winslow,35.0253,-110.7098,United States,283.92,30.0,1.0,4.12
4710,Valjevo,44.2667,19.8833,Serbia,276.15,100.0,0.0,1.03
15484,Fish Hawk,27.8511,-82.2164,United States,293.24,19.0,1.0,2.06
8620,Kurunegala,7.4833,80.3667,Sri Lanka,296.15,88.0,0.0,3.6
20089,Tököl,47.3219,18.9619,Hungary,278.63,81.0,0.0,2.06
14562,Vil’nohirs’k,48.4824,34.0189,Ukraine,277.84,95.0,100.0,5.75
17472,Tsukawaki,33.2833,131.1514,Japan,269.82,83.0,57.0,1.24
6217,Chumphon,10.4939,99.18,Thailand,293.38,100.0,79.0,0.73
10936,Mutsu,41.2931,141.1831,Japan,267.04,78.0,100.0,3.58
10911,Qiryat Gat,31.6061,34.7717,Israel,286.4,100.0,100.0,3.7
18921,Southwick,54.9193,-1.4062,United Kingdom,276.45,56.0,20.0,5.66
4564,Edison,40.536,-74.3697,United States,278.07,48.0,1.0,6.17
10567,Ar Rastan,34.9167,36.7333,Syria,285.41,72.0,100.0,2.49
24035,Piedmont,34.7074,-82.4651,United States,286.71,62.0,20.0,4.12
5154,Altamira,22.3375,-97.8694,Mexico,305.15,58.0,40.0,3.09
23627,Plymouth,43.7438,-71.7221,United States,276.79,60.0,90.0,3.6
