,city,lat,lng,country,Temperature,Humidity_pct,Cloudiness_pct,Windspeed
13386,Balzar,-1.36,-79.9,Ecuador,300.27,83.0,97.0,2.25
2521,Polokwane,-23.9,29.45,South Africa,294.15,88.0,95.0,2.06
12187,Maroantsetra,-15.4333,49.7333,Madagascar,298.05,86.0,100.0,1.26
17553,Boa Esperança do Sul,-21.9925,-48.3908,Brazil,299.77,84.0,100.0,0.84
13624,Chillán Viejo,-36.6229,-72.1317,Chile,309.15,20.0,0.0,3.6
25906,Hokitika,-42.7167,170.9667,New Zealand,290.85,52.0,11.0,1.58
9501,Worcester,-33.645,19.4436,South Africa,274.4,60.0,90.0,4.12
1786,Chitungwiza,-18.0,31.1,Zimbabwe,292.04,84.0,50.0,0.45
15771,Mount Eliza,-38.189,145.092,Australia,294.65,80.0,95.0,1.34
4577,Mairiporã,-23.3189,-46.5869,Brazil,303.81,51.0,20.0,5.14
22476,Cootamundra,-34.6417,148.025,Australia,293.71,82.0,87.0,2.68
14100,Kariba,-16.5333,28.8,Zimbabwe,296.38,87.0,70.0,1.53
26079,Gamba,-2.65,10.0,Gabon,299.51,85.0,99.0,1.33
5068,Santa Inês,-3.6667,-45.38,Brazil,300.03,86.0,68.0,1.51
12207,Constitución,-35.3296,-72.42,Chile,293.26,70.0,15.0,2.82
4074,Machakos,-1.5167,37.2667,Kenya,287.82,86.0,0.0,1.22
13726,Marcos Juárez,-32.7,-62.1,Argentina,300.93,48.0,0.0,3.13
2887,Fianarantsoa,-21.4333,47.0833,Madagascar,292.45,93.0,100.0,1.94
1217,Cuiabá,-15.5958,-56.0969,Brazil,305.15,58.0,75.0,6.17
15722,Paranapanema,-23.3886,-48.7228,Brazil,301.22,72.0,37.0,3.07
10088,Riberalta,-10.983,-66.1,Bolivia,300.12,91.0,99.0,2.0
2526,La Serena,-29.9027,-71.252,Chile,292.15,72.0,40.0,6.17
13104,Victoria,-32.6167,-60.1667,Argentina,289.74,82.0,6.0,0.45
2951,Tarija,-21.5317,-64.7311,Bolivia,293.15,60.0,75.0,2.57
6409,Granja,-3.1195,-40.84,Brazil,301.29,61.0,87.0,3.36
3110,Itu,-23.2642,-47.2992,Brazil,303.15,58.0,20.0,2.57
8036,Mokhotlong,-29.2885,29.0656,Lesotho,285.62,82.0,4.0,1.18
4117,Toliara,-23.35,43.6667,Madagascar,300.78,79.0,48.0,0.29
